"Sample_ID","V_number","LSPEC","sample_type","CSTRAT","YEAR","Unknown_Fragment","Spheroid","Elongate","Oblong","Blocky","Polyhedral","Polygonal","Acicular","Tracheary_annulate","Rondel","Acute","Brachiate","Bulliform_flabellate","Bilobate","Saddle","Cross","Geniculate","Crenate"
"V333671_L3515","V333671","L3515","Stickleback",659.7,4271.917,511,219,43,130,30,81,0,31,9,9,10,6,0,1,0,0,0,0
"V333620_L3464","V333620","L3464","Stickleback",656.6,4372.304,387,164,36,115,17,47,0,21,3,2,7,6,0,2,0,0,0,0
"V333509_L3351","V333509","L3351","Stickleback",651.55,4535.838,400,151,35,74,27,42,0,26,2,3,3,5,0,1,0,0,0,0
"V333195_L3054","V333195","L3054","Stickleback",642.45,4830.522,453,186,68,143,40,46,0,20,11,6,7,12,0,2,0,0,0,0
"V332856_L2711","V332856","L2711","Stickleback",639.45,4927.671,704,230,160,216,100,229,1,13,5,6,25,12,0,0,0,0,0,0
"V332690_L2543","V332690","L2543","Stickleback",636.6,5019.962,279,153,59,128,59,70,107,12,8,10,7,5,0,1,0,0,0,0
"V332949_L2804","V332949","L2804","Stickleback",633.7,5113.873,287,205,80,133,72,109,20,12,21,10,10,12,0,3,0,0,0,0
"V332671_L2523","V332671","L2523","Stickleback",630.9,5204.545,287,169,56,109,47,80,20,12,8,1,13,8,0,0,0,0,0,0
"V332603_L2451","V332603","L2451","Stickleback",627.9,5301.694,270,158,22,120,45,65,1,3,3,0,0,2,0,0,0,0,0,0
"V332514_L2257","V332514","L2257","Stickleback",625,5395.604,316,210,48,150,45,65,5,23,14,5,1,8,1,0,0,0,0,0
"V332534_L2278","V332534","L2278","Stickleback",620.4,5544.565,230,200,38,106,24,60,23,13,6,0,0,0,0,1,0,0,0,0
"V332424_L2167","V332424","L2167","Stickleback",617.1,5651.429,271,184,39,102,45,58,4,17,1,2,0,2,0,1,0,0,0,0
"V332269_L2007","V332269","L2007","Stickleback",475.1,10249.801,40,2,198,29,67,2,185,37,6,38,96,1,53,9,0,0,3,0
"V331999_L1729","V331999","L1729","Stickleback",467.45,10497.53,29,0,125,23,32,1,46,10,5,20,16,9,22,6,1,0,2,3
"V331643_L1363","V331643","L1363","Stickleback",458.05,10801.93,23,1,124,30,26,3,49,28,3,24,112,4,47,3,2,1,1,0
"V331589_L1308","V331589","L1308","Stickleback",455.15,10895.84,17,2,189,59,65,3,66,34,15,21,89,25,35,9,2,0,0,2
"V332407_L2150","V332407","L2150","Stickleback",447.2,11153.284,36,3,204,57,44,10,62,37,22,29,50,7,50,14,2,1,0,0
"V330499_L0141","V330499","L0141","Stickleback",413.4,12247.826,94,59,74,30,29,8,38,16,45,5,13,3,5,8,0,1,0,0
"V330692_L0349","V330692","L0349","Stickleback",104.85,22239.571,389,164,114,59,56,46,2,15,12,13,17,3,0,1,0,0,0,0
"V330611_L0262","V330611","L0262","Stickleback",99.45,22414.438,259,90,73,22,8,29,0,11,15,7,15,5,0,1,0,0,0,0
"V330606_L0257","V330606","L0257","Stickleback",94.55,22573.114,376,148,159,80,92,28,23,31,31,28,11,9,0,8,0,0,0,0
"V330640_L0294","V330640","L0294","Stickleback",89.75,22728.552,390,207,122,197,116,155,0,11,24,4,22,7,0,1,0,0,0,0
"V330641_L0295","V330641","L0295","Stickleback",89.15,22747.982,296,178,111,167,109,125,0,18,14,3,2,2,0,4,0,0,0,0
"V330663_L0317","V330663","L0317","Stickleback",86.95,22819.224,486,190,190,42,26,52,0,20,22,16,0,14,0,2,0,0,0,0
"V356032_LXXXX","V356032","LXXXX","Killifish",NA,NA,188,73,18,25,22,24,15,32,4,1,2,18,0,0,0,0,0,0
"V356038_LXXXX","V356038","LXXXX","Killifish",NA,NA,386,108,46,86,64,43,0,45,3,6,1,16,0,5,0,0,0,0
"V356056_LXXXX","V356056","LXXXX","Killifish",NA,NA,318,166,158,74,102,20,138,88,44,10,0,0,2,4,0,0,0,0
"V356062_LXXXX","V356062","LXXXX","Killifish",NA,NA,316,114,34,76,52,34,3,40,5,4,3,6,0,1,0,0,0,0
"V356066_LXXXX","V356066","LXXXX","Killifish",NA,NA,292,117,51,56,33,60,66,47,3,1,8,22,0,0,0,0,0,0
"V356080_LXXXX","V356080","LXXXX","Killifish",NA,NA,310,188,296,132,224,92,12,80,64,54,0,18,8,8,0,0,0,0
"V356093_LXXXX","V356093","LXXXX","Killifish",NA,NA,286,126,88,36,38,6,74,44,6,10,0,18,0,2,0,0,0,0
"V356105_LXXXX","V356105","LXXXX","Killifish",NA,NA,394,139,57,78,86,68,6,58,4,4,4,10,0,1,0,0,0,0
"V356116_LXXXX","V356116","LXXXX","Killifish",NA,NA,244,63,42,48,32,57,35,55,7,6,1,9,0,0,0,0,0,0
"V356122_LXXXX","V356122","LXXXX","Killifish",NA,NA,229,97,45,52,57,40,112,42,0,5,1,4,0,0,0,0,0,0
"V356164_LXXXX","V356164","LXXXX","Killifish",NA,NA,554,238,228,94,112,64,12,44,32,38,0,20,4,6,0,0,0,0
"V356174_LXXXX","V356174","LXXXX","Killifish",NA,NA,442,192,128,60,108,140,2,46,0,20,44,0,0,4,0,0,0,0
"V356200_LXXXX","V356200","LXXXX","Killifish",NA,NA,171,64,30,72,28,38,0,10,3,3,4,4,0,3,0,0,0,0
"V356208_LXXXX","V356208","LXXXX","Killifish",NA,NA,676,208,264,74,104,64,4,64,30,12,0,16,0,2,0,0,0,0
"V356220_LXXXX","V356220","LXXXX","Killifish",NA,NA,388,154,160,108,124,70,6,42,42,56,0,4,0,0,0,0,0,0
"V356241_LXXXX","V356241","LXXXX","Killifish",NA,NA,904,234,370,60,146,124,10,30,28,22,0,16,2,2,0,0,0,0
"V356296_LXXXX","V356296","LXXXX","Killifish",NA,NA,330,192,192,106,130,70,8,48,56,30,4,8,2,8,0,0,0,0
"V356310_LXXXX","V356310","LXXXX","Killifish",NA,NA,131,76,34,44,38,24,0,50,6,1,2,4,0,0,0,0,0,0
"V356317_LXXXX","V356317","LXXXX","Killifish",NA,NA,692,324,474,150,272,98,36,54,62,76,0,8,2,28,0,0,0,0
"V333994_L3863","V333994","L3863","Stickleback",NA,NA,163,138,63,38,29,31,4,18,21,7,0,0,0,5,0,0,0,0
"V333906_L3752","V333906","L3752","Stickleback",NA,NA,425,245,58,164,49,58,0,26,1,7,5,7,1,3,0,0,0,0
"V333800_L3646","V333800","L3646","Stickleback",NA,NA,432,170,54,131,42,97,1,25,0,6,3,5,0,3,0,0,0,0
"V333581_L3425","V333581","L3425","Stickleback",NA,NA,221,181,77,75,41,42,17,20,10,7,0,4,0,2,0,0,0,0
"V333449_L3291","V333449","L3291","Stickleback",NA,NA,204,87,83,59,45,26,8,8,11,6,0,0,0,4,0,1,0,0
"V333237_L3096","V333237","L3096","Stickleback",NA,NA,439,169,75,113,57,58,1,34,15,9,8,12,1,6,0,0,0,0
"V332540_L2284","V332540","L2284","Stickleback",NA,NA,242,102,53,48,34,20,31,26,8,5,0,0,0,0,0,0,0,0
"V332357_L2097","V332357","L2097","Stickleback",NA,NA,185,106,77,61,39,47,7,17,4,4,0,1,0,3,0,0,0,0
"V332333_L2072","V332333","L2072","Stickleback",NA,NA,166,71,67,31,38,24,127,37,12,8,0,8,0,3,0,0,0,0
"V331739_L1466","V331739","L1466","Stickleback",NA,NA,22,6,165,61,52,2,79,29,23,42,84,4,65,7,2,0,1,2
"V330643_L0297","V330643","L0297","Stickleback",NA,NA,602,176,228,42,48,76,4,40,18,28,28,32,0,2,0,0,0,0
"V330632_L0286","V330632","L0286","Stickleback",NA,NA,402,117,116,192,108,119,0,1,10,7,14,8,0,2,0,0,0,0
"V330519_L0161","V330519","L0161","Stickleback",NA,NA,91,148,101,59,69,13,42,20,58,21,14,0,0,9,0,0,0,0
"V330470_L110","V330470","L0110","Stickleback",NA,NA,31,4,184,23,46,4,175,17,7,27,60,6,33,12,1,0,1,0
"V330455_L0095","V330455","L0095","Stickleback",NA,NA,40,72,62,37,49,4,11,0,15,33,9,5,6,14,0,3,0,0
"V330400_L0040","V330400","L0040","Stickleback",NA,NA,35,34,102,66,57,12,177,0,40,29,15,2,4,6,0,1,0,0
