fish_id,has_significant_diff,num_overlapping_measures,num_exceeding_threshold,max_relative_diff
V331385_L1084_1,TRUE,27,8,0.4506421404920173
V331095_L770_1,TRUE,22,6,0.11965651617400563
V330557_L203_1,TRUE,17,5,0.4349359143701781
V332390_L2132_1,TRUE,15,5,0.2947055282027466
V331092_L767_1,TRUE,12,5,0.28917644804224435
V330719_L374_1,TRUE,14,5,0.27549208229590283
V332974_L2829_1,TRUE,11,5,0.16838200616968443
V330677_L332_1,TRUE,21,5,0.1440195093843822
V330591_L242_1,TRUE,16,4,0.5924090998882992
V330755_L412_1,TRUE,19,4,0.4763521105662678
V332124_L1858_1,TRUE,11,4,0.45110454649382326
V331309_L990_1,TRUE,20,4,0.4063186776281741
V330644_L298_1,TRUE,18,4,0.3764782085296642
V330757_L414_1,TRUE,13,4,0.317949663290497
V332580_L2327_1,TRUE,10,4,0.3066152834011302
V330828_L491_1,TRUE,12,4,0.2588072454622532
V331149_L825_1,TRUE,11,4,0.2106359971595355
V331155_L831_1,TRUE,23,4,0.2089135467109395
V330908_L577_1,TRUE,12,4,0.12377512178116139
V332843_L2698_1,TRUE,20,4,0.11333741658615426
V333028_L2883_1,TRUE,7,3,0.7358688547237425
V330695_L352_1,TRUE,11,3,0.6031634218519738
V332554_L2299_1,TRUE,8,3,0.5432717975139264
V330541_L186_1,TRUE,10,3,0.518884014999539
V330921_L590_1,TRUE,8,3,0.5096457970596417
V330618_L269_1,TRUE,8,3,0.4946104192317059
V331216_L894_1,TRUE,8,3,0.44658115437478907
V330986_L658_1,TRUE,8,3,0.428980086052535
V330424_L64_1,TRUE,23,3,0.39681990159759367
V330560_L206_1,TRUE,11,3,0.37161786364348753
V330549_L194_1,TRUE,8,3,0.35668142432825223
V330555_L201_1,TRUE,14,3,0.35627445786374373
V330661_L315_1,TRUE,11,3,0.30617222400430216
V330904_L573_1,TRUE,9,3,0.3004260885926483
V330946_L615_1,TRUE,7,3,0.2742617722229899
V332857_L2712_1,TRUE,26,3,0.2705145239785877
V330496_L138_1,TRUE,10,3,0.2603784182724492
V330683_L340_1,TRUE,12,3,0.24456140008413454
V331078_L753_1,TRUE,8,3,0.23027253966595482
V331459_L1167_1,TRUE,13,3,0.2034144242933761
V331164_L840_1,TRUE,14,3,0.19390492171503546
V330786_L447_1,TRUE,11,3,0.18780264460210552
V331045_L719_1,TRUE,9,3,0.179835145559699
V330939_L608_1,TRUE,15,3,0.15239802445063474
V330455_L95_1,TRUE,15,3,0.12473465198181394
V331152_L828_1,TRUE,14,3,0.09526127163706719
V331058_L732_1,TRUE,13,2,3.449335975324231
V330722_L377_1,TRUE,7,2,0.6009771963902428
V331220_L898_1,TRUE,8,2,0.5908104183670517
V330411_L51_1,TRUE,6,2,0.5755589464777203
V330749_L406_1,TRUE,8,2,0.5732017552982202
V331693_L1416_1,TRUE,7,2,0.5083990237679109
V330390_L30_1,TRUE,7,2,0.4691449060067354
V330848_L515_1,TRUE,7,2,0.46570148692718255
V332087_L1820_1,TRUE,6,2,0.4424631797579475
V330885_L553_2,TRUE,7,2,0.43768980409046154
V330742_L399_1,TRUE,11,2,0.426323163723626
V330780_L441_1,TRUE,7,2,0.4049820151277384
V330721_L376_1,TRUE,8,2,0.4001501534606489
V330474_L114_1,TRUE,8,2,0.39321263524737515
V330703_L361_1,TRUE,16,2,0.3908034215811113
V331752_L1479_1,TRUE,8,2,0.38644153605570286
V332479_L2222_1,TRUE,9,2,0.38282678726785274
V331682_L1404_1,TRUE,7,2,0.37971514546636204
V330818_L480_1,TRUE,7,2,0.3775807557223317
V330610_L261_1,TRUE,8,2,0.37118571618004975
V331548_L1265_1,TRUE,7,2,0.3655463284062138
V330569_L218_1,TRUE,8,2,0.36342653294810023
V331507_L1220_1,TRUE,8,2,0.3592631968769295
V330483_L125_1,TRUE,7,2,0.3524002703746928
V330639_L293_1,TRUE,13,2,0.3499191055378396
V330568_L217_1,TRUE,8,2,0.3494794437483609
V330836_L500_1,TRUE,8,2,0.34297006707727706
V330945_L614_1,TRUE,16,2,0.34246266323316
V330766_L424_1,TRUE,14,2,0.34194949941086006
V330612_L263_1,TRUE,15,2,0.33083989972754
V330405_L45_1,TRUE,46,2,0.33020741435463397
V330991_L663_1,TRUE,13,2,0.32660456424266543
V330997_L670_1,TRUE,10,2,0.3074899898155789
V330778_L437_1,TRUE,7,2,0.3054940584264883
V330829_L492_1,TRUE,7,2,0.2988721603502504
V330797_L458_1,TRUE,8,2,0.2918358184907222
V330392_L32_1,TRUE,6,2,0.2880516136638736
V330559_L205_1,TRUE,8,2,0.28093896791633427
V331223_L901_1,TRUE,9,2,0.2687937149471955
V331864_L1592_1,TRUE,10,2,0.26693070643883954
V331113_L788_1,TRUE,20,2,0.2626611005688598
V331141_L817_1,TRUE,10,2,0.25734065217452484
V330571_L220_1,TRUE,12,2,0.25058977155320855
V330870_L538_1,TRUE,17,2,0.24011729203082904
V330525_L169_1,TRUE,10,2,0.2341976325920605
V330614_L265_1,TRUE,9,2,0.22957563881796408
V330740_L397_1,TRUE,7,2,0.22590852154825852
V330765_L423_1,TRUE,7,2,0.2206912588773005
V330702_L360_1,TRUE,7,2,0.21868681695259315
V330605_L256_1,TRUE,9,2,0.1989208978667626
V330592_L243_1,TRUE,16,2,0.18746808896913317
V330704_L362_1,TRUE,8,2,0.18687158935313905
V332645_L2497_1,TRUE,9,2,0.1826068187815934
V330752_L409_1,TRUE,16,2,0.1769898298892837
V333030_L2885_1,TRUE,14,2,0.16672963185001538
V330558_L204_1,TRUE,20,2,0.16485347023817074
V330770_L428_1,TRUE,8,2,0.16434601716551342
V330476_L116_1,TRUE,6,2,0.16258803976981534
V332071_L1804_1,TRUE,11,2,0.16248658890691525
V330570_L219_1,TRUE,8,2,0.15192290550210086
V330840_L505_1,TRUE,10,2,0.14464941150161123
V330964_L635_1,TRUE,26,2,0.14180238844768947
V331017_L691_1,TRUE,13,2,0.14055712318001026
V331296_L977_1,TRUE,7,2,0.13679555319637887
V330534_L178_1,TRUE,16,2,0.13476342098331012
V332073_L1806_1,TRUE,9,2,0.1331560123962258
V330759_L416_1,TRUE,10,2,0.12580266235417753
V331209_L887_1,TRUE,12,2,0.11871422519707521
V331047_L721_1,TRUE,16,2,0.10317476835611225
V330674_L329_1,TRUE,18,2,0.09047519981528629
V330745_L402_1,TRUE,16,2,0.08930832045432929
V332837_L2692_1,TRUE,10,2,0.08806236771975334
V330888_L556_1,TRUE,17,2,0.07616316881853605
V333074_L2929_1,TRUE,7,2,0.07491455617879102
V334376_L4200_1,TRUE,8,1,0.4729401103773523
V330792_L453_1,TRUE,6,1,0.400417329688995
V330407_L47_1,TRUE,14,1,0.3941835592062824
V330538_L182_1,TRUE,8,1,0.3888539429521566
V330911_L580_1,TRUE,7,1,0.32683222825946373
V331726_L1452_1,TRUE,6,1,0.3008774539062079
V330385_L25_1,TRUE,5,1,0.28033625572218757
V330649_L303_1,TRUE,8,1,0.21211346906659703
V330812_L474_1,TRUE,10,1,0.20924950278660712
V333065_L2920_1,TRUE,9,1,0.20781345035545842
V331250_L929_1,TRUE,15,1,0.207697607679756
V330816_L478_1,TRUE,16,1,0.2065073033471803
V330601_L252_1,TRUE,16,1,0.20405220803701196
V330484_L126_1,TRUE,15,1,0.19865184889037762
V330578_L227_1,TRUE,16,1,0.1940405498474632
V330493_L135_1,TRUE,15,1,0.19319834663321644
V331022_L696_1,TRUE,8,1,0.18888382204292048
V330866_L534_1,TRUE,16,1,0.1853406294706724
V330579_L228_1,TRUE,8,1,0.1821033493359841
V330585_L236_1,TRUE,8,1,0.18188550739226508
V330526_L170_1,TRUE,7,1,0.18143631693658374
V330855_L523_1,TRUE,9,1,0.18008007095242973
V330495_L137_1,TRUE,7,1,0.17856510765527156
V331712_L1438_1,TRUE,7,1,0.17838820718055248
V330473_L113_1,TRUE,16,1,0.17559869186046512
V330509_L151_1,TRUE,8,1,0.1735157802616083
V330666_L321_1,TRUE,9,1,0.17230035954083378
V330548_L193_1,TRUE,8,1,0.16988637419469194
V331101_L776_1,TRUE,5,1,0.1685514352224246
V330468_L108_1,TRUE,16,1,0.168183481139639
V330860_L528_1,TRUE,9,1,0.16500579522269299
V330600_L251_2,TRUE,15,1,0.1612552281435554
V330698_L356_1,TRUE,10,1,0.16069579650156995
V330494_L136_1,TRUE,8,1,0.1578586567324419
V330947_L616_1,TRUE,6,1,0.1567858487378937
V330724_L381_1,TRUE,9,1,0.15436318541002048
V333102_L2958_1,TRUE,7,1,0.15286978893799974
V330917_L586_1,TRUE,8,1,0.15082907989132419
V332844_L2699_1,TRUE,9,1,0.15009275196041405
V330603_L254_1,TRUE,8,1,0.14903210625611893
V330637_L291_1,TRUE,15,1,0.14692658959877286
V330753_L410_1,TRUE,8,1,0.14651031035954812
V330466_L106_1,TRUE,32,1,0.14494042154020034
V331644_L1364_1,TRUE,8,1,0.14361205562810997
V331441_L1149_1,TRUE,6,1,0.14352031399850262
V330542_L187_1,TRUE,9,1,0.142959051282536
V330889_L557_1,TRUE,7,1,0.14201359481538461
V331107_L782_1,TRUE,14,1,0.14186008935199587
V333199_L3058_1,TRUE,17,1,0.14116611855815606
V330631_L285_1,TRUE,12,1,0.14105353100271156
V330595_L246_1,TRUE,8,1,0.13922814354097757
V332774_L2629_1,TRUE,15,1,0.1366197023576646
V330712_L371A_1,TRUE,13,1,0.13614734883617063
V330567_L216_1,TRUE,9,1,0.13260585482892168
V330562_L210_1,TRUE,8,1,0.1325813890067335
V330651_L305_1,TRUE,9,1,0.1310282334936641
V330588_L239_1,TRUE,16,1,0.1305065791980677
V331871_L1600_1,TRUE,9,1,0.1297335677352801
V330734_L391_1,TRUE,8,1,0.1283558766095733
V332273_L2011_1,TRUE,9,1,0.1279343814939391
V330502_L144_1,TRUE,8,1,0.12756330256028092
V330910_L579_1,TRUE,6,1,0.1267643850106158
V331037_L711_1,TRUE,8,1,0.12545788587740406
V330961_L632_1,TRUE,7,1,0.1242223603145348
V330513_L155_1,TRUE,9,1,0.12414791158979387
V330735_L392_1,TRUE,8,1,0.12276452328091773
V330583_L232_1,TRUE,16,1,0.12094810577419297
V331064_L738_1,TRUE,16,1,0.11781614679023247
V332423_L2166_1,TRUE,13,1,0.11669453812886008
V330615_L266_1,TRUE,8,1,0.11429190462867987
V332040_L1773_1,TRUE,23,1,0.11413606389734565
V330536_L180_1,TRUE,8,1,0.11234725094919022
V330876_L544_1,TRUE,15,1,0.10689685682628709
V330909_L578_1,TRUE,7,1,0.10550621377288522
V330746_L403_1,TRUE,7,1,0.10398810528256894
V330671_L326_1,TRUE,10,1,0.10238554118492048
V332903_L2758_1,TRUE,6,1,0.10110564843996064
V330490_L132_1,TRUE,15,1,0.10024135653641703
V331391_L1090_1,TRUE,13,1,0.09897089834466931
V331026_L700_1,TRUE,9,1,0.09815045386880998
V331854_L1581_1,TRUE,6,1,0.09578226403654953
V330365_L4_1,TRUE,8,1,0.09432972696608238
V330462_L102_1,TRUE,15,1,0.09367849265794814
V330957_L628_1,TRUE,8,1,0.09290672101659829
V333176_L3034_1,TRUE,11,1,0.08953970029680863
V330709_L368_1,TRUE,9,1,0.08203286895855164
V332434_L2177_1,TRUE,12,1,0.07009285495694972
V330944_L613_1,TRUE,10,1,0.06581963042891788
V331906_L1635C_1,TRUE,7,1,0.06486176452410862
V330941_L610_1,TRUE,7,1,0.05878586846757191
V332926_L2781_1,TRUE,8,1,0.05346488444086754
V331514_L1227_1,TRUE,8,1,0.05238242361496675
V331489_L1201_1,TRUE,8,1,0.05200311724192797
V331532_L1248_1,FALSE,11,0,0.047532506052137054
V330872_L540_1,FALSE,15,0,0.04175635450719613
V331977_L1707_1,FALSE,6,0,0.0391516726404333
V333410_L3252_1,FALSE,10,0,0.03850828253571532
V330693_L350_1,FALSE,12,0,0.038274387718290295
V330731_L388_1,FALSE,8,0,0.035483773063554824
V330793_L454_1,FALSE,10,0,0.03499171903608933
V330737_L394_1,FALSE,7,0,0.03335988020606094
V330764_L422_1,FALSE,10,0,0.032576391577028296
V331502_L1215_1,FALSE,12,0,0.029673640888733366
V331433_L1141_1,FALSE,6,0,0.029349361803225803
V332516_L2259_1,FALSE,6,0,0.029191377149337262
V332633_L2485_1,FALSE,5,0,0.028669996017737554
V331989_L1719_1,FALSE,6,0,0.028076530695408095
V330523_L166_1,FALSE,9,0,0.027755379787290653
V330399_L39_1,FALSE,40,0,0.02563738454809196
V330607_L258_1,FALSE,5,0,0.023926722863032247
V330458_L98_1,FALSE,24,0,0.023835626156991807
V330949_L618_1,FALSE,9,0,0.0238277594577481
V330613_L264_1,FALSE,8,0,0.023827137203103362
V333053_L2908_1,FALSE,6,0,0.022726065405048086
V332244_L1982_1,FALSE,9,0,0.0226246535334795
V330788_L449_1,FALSE,16,0,0.021725318917497967
V330572_L221_1,FALSE,8,0,0.020780782486510677
V330934_L603_1,FALSE,7,0,0.018573783138660187
V330481_L122_1,FALSE,8,0,0.0185357750082003
V330826_L489_1,FALSE,9,0,0.014755450028339319
V330561_L209_1,FALSE,16,0,0.012743018206516469
V330954_L623_1,FALSE,7,0,0.012255580813048542
V330507_L149_1,FALSE,8,0,0.011230887749031776
V330937_L606_1,FALSE,8,0,0.010029427055368098
V330565_L214_1,FALSE,24,0,0.008538163884932873
V330924_L593_2,FALSE,8,0,0.0073835912237158
V330464_L104_1,FALSE,8,0,0.007161658029826443
V331553_L1270_1,FALSE,5,0,0.004024965695995609
V330388_L28_1,FALSE,8,0,0
V330461_L101_1,FALSE,5,0,0
V330470_L110_1,FALSE,6,0,0
V330504_L146_1,FALSE,8,0,0
V330576_L225_1,FALSE,8,0,0
V330590_L241_1,FALSE,5,0,0
V330594_L245_1,FALSE,5,0,0
V330634_L288_1,FALSE,7,0,0
V330700_L358_1,FALSE,13,0,0
V330718_L373_1,FALSE,8,0,0
V330748_L405_1,FALSE,8,0,0
V330777_L436_1,FALSE,5,0,0
V330853_L520_1,FALSE,5,0,0
V330863_L531_1,FALSE,5,0,0
V330942_L611_1,FALSE,5,0,0
V330959_L630_1,FALSE,4,0,0
V331205_L883_1,FALSE,8,0,0
V331465_L1173_1,FALSE,5,0,0
V332082_L1815_1,FALSE,10,0,0
V330400_L40_1,TRUE,33,NA,0.20381031451807946
V330363_L2_1,TRUE,32,NA,0.17399523731100944
V330492_L134_1,TRUE,46,NA,0.1540650980395585
V330397_L37_1,TRUE,92,NA,0.14493875050596142
V330620_L271_1,TRUE,32,NA,0.13563231836354103
V330533_L177_1,NA,48,NA,0
