"","Actinocyclus_spp","Alveophora_americana","Amphora_coffeaeformis","Amphora_spp","Anomoeneis_sculpta","Aulocoseira_ambigua","Aulocoseira_canadensis","Aulocoseira_pusilla","Aulocoseira_spp","Aulocoseira_subarctica","Aulocoseira_tenella","Chaetoceros_spp","Cocconeis_spp","Craticula_spp","Cyclostephanos_tholiformis","Cyclotella_spp","Cymbella_cymbiformis","Cymbella_spp","Encyonema_spp","Epithemia_musculus","Eunotia_spp","Fragilaria_vaucheriae","Geissleria_spp","Lindavia_rossii","Navicula_spp","Nitzschia_fonticola","Planothidium_apiculatum","Planothidium_delicatulum","Pliocaenicus_spp","Pseudostaurosira_brevistriata","Punctastriata_mimetica","Semiorbis_spp","Staurosira_construens_var_binodis","Staurosira_construens_var_construens","Staurosira_construens_var_venter","Staurosirella_leptostauron_var_leptostauron","Staurosirella_pinnata","Staurosirella_spp","Stephanodiscus_spp","Surirella_amphioxys","Tetracyclus_spp","Unknown_spp","Amphora_copulata","Aulacoseira_ambigua","Aulacoseira_granulata","Aulacoseira_iirata","Aulacoseira_islandica","Aulacoseira_nivaloides","Aulacoseira_pusilla","Aulacoseira_spp","Aulacoseira_subarctica","Aulacoseira_tenella","Caponea_spp","Cocconeis_klamathensis","Cyclostephanos_spp","Epithemia_gibberula","Fragilariforma_nitzschioides","Licomphora_spp","Melosira_spp","Pseudostaurosira_neoelliptica","Pseudostaurosiropsis_spp","Rhopalodia_spp","Surirella_spp","Tetracyclus_emarginatus","Tetracyclus_glans","spp_spp","Epithemia_Rhopalodia","Aneumastus_psuedotusculus","Licmophora_spp","Entomoneis_punctulata","Epithemia_spp","Tetracyclus_rupestris","Aneumastus_spp","Aulacoseira_nygaardii","Caponea_caribbea","Diploneis_spp","Gomphoneis_minuata"
"V330400_L0040",2,0,0,0,0,0,0,2,24,0,27,0,0,0,13,3,2,25,1,0,0,0,0,1,0,1,1,1,19,0,1,0,0,0,1,0,3,0,0,0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330455_L0095",0,0,0,0,0,0,0,1,8,2,21,0,0,0,9,1,0,1,0,1,0,0,0,0,2,2,0,3,4,0,1,0,0,0,0,0,1,1,0,2,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330470_L110",1,4,0,8,22,0,0,0,0,0,0,0,0,7,16,16,0,10,0,7,0,0,3,0,33,0,0,0,4,0,9,0,0,0,0,2,0,0,2,0,1,1133,7,0,3,1,0,7,0,49,11,25,0,0,1,8,0,0,1,0,0,3,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"V330499_L0141",0,0,0,0,0,0,0,3,16,3,7,0,0,0,4,1,0,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,0,1,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330519_L0161",0,0,0,0,0,0,0,4,62,0,46,0,0,0,25,11,0,1,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,6,0,0,1,3,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330606_L0257",1,0,0,0,1,0,0,1,30,0,18,0,0,0,9,0,0,2,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,7,0,0,13,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330611_L0262",0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330632_L0286",0,0,0,0,0,0,0,1,47,0,12,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"V330640_L0294",0,0,0,0,0,0,0,1,24,0,4,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330641_L0295",0,0,0,0,0,0,0,1,28,1,6,0,0,0,5,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V330643_L0297",0,0,0,0,0,0,0,0,6,0,4,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330663_L0317",0,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330692_L0349",0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V331589_L1308",9,0,0,0,27,0,0,0,0,0,0,3,0,6,22,33,0,14,0,0,0,0,0,0,1,1,0,0,19,0,7,0,0,0,0,0,0,0,12,0,0,728,16,10,9,0,2,4,6,88,18,64,2,1,0,9,5,1,0,1,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"V331643_L1363",0,0,0,0,15,0,0,0,0,0,0,0,1,1,11,4,0,6,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,648,31,0,0,0,0,4,1,21,5,15,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"V331739_L1466",6,0,0,0,10,0,0,0,0,0,0,0,0,4,20,19,0,20,0,0,0,1,1,0,8,1,0,0,10,0,6,0,0,0,0,4,0,1,5,0,0,968,17,0,0,0,2,7,2,50,16,46,0,0,0,3,1,0,0,3,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"V331999_L1729",2,0,0,0,11,0,0,0,0,0,0,0,0,0,17,9,0,10,1,0,0,0,0,0,9,0,0,0,19,0,11,1,0,0,0,1,0,0,0,0,0,771,4,0,0,0,0,0,0,34,11,35,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"V332269_L2007",2,5,0,0,10,0,0,0,0,0,0,0,0,9,15,15,0,15,0,2,0,0,0,0,1,0,0,0,3,0,14,0,0,0,0,3,0,0,10,0,1,684,2,1,3,1,5,7,1,60,7,18,1,0,1,6,0,0,0,0,0,1,1,1,3,0,0,0,0,9,1,1,0,0,0,0,0
"V332333_L2072",0,0,0,0,0,0,0,0,18,0,11,0,0,0,3,0,0,13,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V332357_L2097",0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332407_L2150",2,0,0,0,7,0,0,0,0,0,0,0,0,6,24,30,0,22,1,3,0,0,1,0,20,0,0,0,8,0,6,0,0,0,0,1,0,0,10,0,0,1104,2,4,0,0,0,14,1,88,10,46,0,0,0,4,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1
"V332424_L2167",0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332514_L2257",0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332534_L2278",0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332540_L2284",0,0,0,0,0,0,0,0,20,0,9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V332603_L2451",0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332671_L2523",0,0,0,0,0,0,0,1,14,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V332690_L2543",0,0,0,0,0,0,0,0,20,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332856_L2711",0,0,0,0,0,0,0,0,11,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V332949_L2804",0,0,0,0,0,0,0,1,33,0,14,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V333195_L3054",0,0,0,0,0,0,0,0,14,0,14,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V333237_L3096",0,0,0,0,0,0,0,0,30,0,17,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V333449_L3291",0,0,0,0,0,0,0,2,12,1,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,1,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V333509_L3351",0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V333581_L3425",0,0,0,0,0,0,0,1,20,0,14,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,10,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"V333620_L3464",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V333671_L3515",0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V333800_L3646",0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V333906_L3752",0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"V333994_L3863",0,0,0,0,0,0,0,0,30,0,14,0,0,0,2,0,1,14,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"V356032_LXXXX",0,0,0,0,0,0,0,1,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,15,1,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356038_LXXXX",0,0,0,0,0,0,0,2,34,0,16,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"V356056_LXXXX",0,0,0,0,0,2,0,2,42,0,36,0,0,0,24,0,0,4,0,2,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,40,2,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356062_LXXXX",0,0,0,0,0,0,0,0,15,0,13,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"V356066_LXXXX",0,0,0,0,0,0,0,0,19,0,21,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,1,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356080_LXXXX",0,0,2,4,0,0,0,0,146,2,74,0,0,0,36,0,0,12,0,2,2,0,0,0,0,0,0,0,20,0,2,8,0,0,0,0,10,0,0,26,2,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356093_LXXXX",0,0,0,0,0,0,0,0,22,0,14,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356105_LXXXX",0,0,0,0,0,0,0,4,24,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356116_LXXXX",0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356122_LXXXX",0,0,0,0,0,0,0,4,19,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356164_LXXXX",0,0,0,0,0,0,0,2,64,0,36,0,0,0,16,0,0,42,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"V356174_LXXXX",0,0,0,0,4,0,0,2,82,0,18,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356200_LXXXX",0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356208_LXXXX",0,0,0,0,0,0,0,0,50,0,18,0,0,0,14,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"V356220_LXXXX",0,0,0,0,0,0,0,0,86,2,42,0,0,2,10,0,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,8,4,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"V356241_LXXXX",0,0,0,0,2,0,0,10,44,0,20,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356296_LXXXX",0,0,0,0,0,0,2,16,126,0,100,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,8,2,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"V356310_LXXXX",0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,4,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356317_LXXXX",0,0,0,0,0,0,0,20,266,6,84,0,0,0,22,2,0,62,0,4,0,0,0,0,0,0,0,0,22,2,0,10,0,0,0,0,0,0,0,28,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
