LSPEC,Diatom_Araphid,Diatom_Asymmetric_Biraphid,Diatom_Centric,Diatom_Monoraphid,Diatom_Nitzschioid,Diatom_Symmetric_Biraphid,Diatom_Unknown_Fragment,Phytolith_Acute,Phytolith_Bilobate,Phytolith_Blocky,Phytolith_Brachiate,Phytolith_Bulliform_flabellate,Phytolith_Cross,Phytolith_Elongate,Phytolith_Oblong,Phytolith_Polygonal,Phytolith_Polyhedral,Phytolith_Rondel,Phytolith_Spheroid,Phytolith_Tracheary_annulate,Phytolith_Unknown_Fragment,Diatom_Epithemioid,Diatom_Eunotioid,Diatom_Surirelloid,Diatom_Pennates,Phytolith_Acicular,Phytolith_Geniculate,Phytolith_Saddle,Phytolith_Crenate,Sample_ID,V_number,sample_type,CSTRAT,YEAR
L0040,15,30,229,7,1,6,162,15,6,57,2,4,1,102,66,177,12,29,34,40,35,0,0,0,0,0,0,0,0,V330400_L0040,V330400,Stickleback,NA,NA
L0095,5,2,102,5,2,13,149,9,14,49,5,6,3,62,37,11,4,33,72,15,40,1,2,2,0,0,0,0,0,V330455_L0095,V330455,Stickleback,NA,NA
L0110,57,31,260,15,0,65,344,60,12,46,6,33,0,184,23,175,4,27,4,7,31,18,10,10,601,17,1,1,0,V330470_L110,V330470,Stickleback,NA,NA
L0141,10,16,81,2,0,6,213,13,8,29,3,5,1,74,30,38,8,5,59,45,94,0,0,1,0,16,0,0,0,V330499_L0141,V330499,Stickleback,413.4,12247.826
L0161,9,1,294,9,0,3,363,14,9,69,0,0,0,101,59,42,13,21,148,58,91,0,1,1,0,20,0,0,0,V330519_L0161,V330519,Stickleback,NA,NA
L0257,10,16,108,0,0,28,416,11,8,92,9,0,0,159,80,23,28,28,148,31,376,0,3,13,0,31,0,0,0,V330606_L0257,V330606,Stickleback,94.55,22573.114
L0262,0,10,22,0,0,2,153,15,1,8,5,0,0,73,22,0,29,7,90,15,259,0,2,0,0,11,0,0,0,V330611_L0262,V330611,Stickleback,99.45,22414.438
L0286,2,19,139,0,0,15,547,14,2,108,8,0,0,116,192,0,119,7,117,10,402,5,0,1,0,1,0,0,0,V330632_L0286,V330632,Stickleback,NA,NA
L0294,9,21,85,0,0,15,281,22,1,116,7,0,0,122,197,0,155,4,207,24,390,0,10,0,0,11,0,0,0,V330640_L0294,V330640,Stickleback,89.75,22728.552
L0295,11,16,77,0,0,8,329,2,4,109,2,0,0,111,167,0,125,3,178,14,296,1,22,2,0,18,0,0,0,V330641_L0295,V330641,Stickleback,89.15,22747.982
L0297,4,12,42,0,0,0,406,28,2,48,32,0,0,228,42,4,76,28,176,18,602,0,0,0,0,40,0,0,0,V330643_L0297,V330643,Stickleback,NA,NA
L0317,2,4,44,0,0,6,338,0,2,26,14,0,0,190,42,0,52,16,190,22,486,0,4,0,0,20,0,0,0,V330663_L0317,V330663,Stickleback,86.95,22819.224
L0349,0,4,30,0,0,3,192,17,1,56,3,0,0,114,59,2,46,13,164,12,389,0,4,0,0,15,0,0,0,V330692_L0349,V330692,Stickleback,104.85,22239.571
L1308,46,32,469,20,1,43,386,89,9,65,25,35,0,189,59,66,3,21,2,15,17,13,5,0,111,34,0,2,2,V331589_L1308,V331589,Stickleback,455.15,10895.84
L1363,22,40,136,30,0,23,240,112,3,26,4,47,1,124,30,49,3,24,1,3,23,1,5,0,286,28,1,2,0,V331643_L1363,V331643,Stickleback,458.05,10801.93
L1466,38,40,337,14,1,24,499,84,7,52,4,65,0,165,61,79,2,42,6,23,22,7,15,0,263,29,1,2,2,V331739_L1466,V331739,Stickleback,NA,NA
L1729,56,17,235,6,0,25,216,16,6,32,9,22,0,125,23,46,1,20,0,5,29,5,1,0,395,10,2,1,3,V331999_L1729,V331999,Stickleback,467.45,10497.53
L2007,35,20,308,3,0,26,403,96,9,67,1,53,0,198,29,185,2,38,2,6,40,10,8,10,96,37,3,0,0,V332269_L2007,V332269,Stickleback,475.1,10249.801
L2072,1,22,65,0,0,14,262,0,3,38,8,0,0,67,31,127,24,8,71,12,166,1,3,1,0,37,0,0,0,V332333_L2072,V332333,Stickleback,NA,NA
L2097,3,3,64,0,0,0,167,0,3,39,1,0,0,77,61,7,47,4,106,4,185,0,0,0,0,17,0,0,0,V332357_L2097,V332357,Stickleback,NA,NA
L2150,60,34,482,3,0,50,641,50,14,44,7,50,1,204,57,62,10,29,3,22,36,11,1,0,145,37,0,2,0,V332407_L2150,V332407,Stickleback,447.2,11153.284
L2167,3,1,25,0,0,0,127,0,1,45,2,0,0,39,102,4,58,2,184,1,271,0,0,0,0,17,0,0,0,V332424_L2167,V332424,Stickleback,617.1,5651.429
L2257,2,3,32,0,0,2,186,1,0,45,8,1,0,48,150,5,65,5,210,14,316,0,0,0,0,23,0,0,0,V332514_L2257,V332514,Stickleback,625,5395.604
L2278,3,0,34,0,0,1,164,0,1,24,0,0,0,38,106,23,60,0,200,6,230,0,0,2,0,13,0,0,0,V332534_L2278,V332534,Stickleback,620.4,5544.565
L2284,1,1,62,0,0,1,165,0,0,34,0,0,0,53,48,31,20,5,102,8,242,1,1,0,0,26,0,0,0,V332540_L2284,V332540,Stickleback,NA,NA
L2451,0,1,26,0,0,0,140,0,0,45,2,0,0,22,120,1,65,0,158,3,270,0,0,0,0,3,0,0,0,V332603_L2451,V332603,Stickleback,627.9,5301.694
L2523,3,1,40,0,0,6,151,13,0,47,8,0,0,56,109,20,80,1,169,8,287,1,3,0,0,12,0,0,0,V332671_L2523,V332671,Stickleback,630.9,5204.545
L2543,4,18,66,0,0,18,275,7,1,59,5,0,0,59,128,107,70,10,153,8,279,0,13,0,0,12,0,0,0,V332690_L2543,V332690,Stickleback,636.6,5019.962
L2711,1,4,45,0,0,3,166,25,0,100,12,0,0,160,216,1,229,6,230,5,704,0,8,0,0,13,0,0,0,V332856_L2711,V332856,Stickleback,639.45,4927.671
L2804,1,21,123,0,0,6,307,10,3,72,12,0,0,80,133,20,109,10,205,21,287,1,18,0,0,12,0,0,0,V332949_L2804,V332949,Stickleback,633.7,5113.873
L3054,8,10,74,0,0,13,308,7,2,40,12,0,0,68,143,0,46,6,186,11,453,0,15,0,0,20,0,0,0,V333195_L3054,V333195,Stickleback,642.45,4830.522
L3096,9,23,140,0,0,17,493,8,6,57,12,1,0,75,113,1,58,9,169,15,439,1,19,0,0,34,0,0,0,V333237_L3096,V333237,Stickleback,NA,NA
L3291,6,11,69,0,0,17,202,0,4,45,0,0,1,83,59,8,26,6,87,11,204,1,4,1,0,8,0,0,0,V333449_L3291,V333449,Stickleback,NA,NA
L3351,3,3,34,0,0,6,167,3,1,27,5,0,0,35,74,0,42,3,151,2,400,0,4,0,0,26,0,0,0,V333509_L3351,V333509,Stickleback,651.55,4535.838
L3425,4,17,92,0,0,17,307,0,2,41,4,0,0,77,75,17,42,7,181,10,221,2,4,10,0,20,0,0,0,V333581_L3425,V333581,Stickleback,NA,NA
L3464,2,4,7,0,0,2,149,7,2,17,6,0,0,36,115,0,47,2,164,3,387,0,6,2,0,21,0,0,0,V333620_L3464,V333620,Stickleback,656.6,4372.304
L3515,11,9,38,0,0,1,224,10,1,30,6,0,0,43,130,0,81,9,219,9,511,0,8,1,0,31,0,0,0,V333671_L3515,V333671,Stickleback,659.7,4271.917
L3646,8,5,46,0,0,1,176,3,3,42,5,0,0,54,131,1,97,6,170,0,432,0,7,0,0,25,0,0,0,V333800_L3646,V333800,Stickleback,NA,NA
L3752,12,8,39,0,0,8,191,5,3,49,7,1,0,58,164,0,58,7,245,1,425,1,8,0,0,26,0,0,0,V333906_L3752,V333906,Stickleback,NA,NA
L3863,3,19,100,0,1,43,263,0,5,29,0,0,0,63,38,4,31,7,138,21,163,3,10,1,0,18,0,0,0,V333994_L3863,V333994,Stickleback,NA,NA
