LSPEC,fish_ids,Depth (cm),Notes
L0028,V330388,22.4,
L0087,V330447,30.5,
L0471,V330809,387.9,
L0647,V330975,NA,DO NOT INCLUDE IN ANALYSES
L0789,V331114,571,
L0790,V331115,388.8,
L0791,V331116,402.2,
L0793,V331117,385.7,
L0794,V331118,385.4,
L0795,V331119,404.1,
L0796,V331120,551.5,
L0797,V331121,407.2,
L0798,V331122,572.5,
L0799,V331123,407.3,
L0800,V331124,593.8,
L0801,V331125,402.5,
L0802,V331126,491.6,
L0803,V331127,383.8,
L0804,V331128,385.2,
L0806,V331130,451.3,
L0807,V331131,383.8,
L0808,V331132,384.2,
L0809,V331133,493.9,
L0810,V331134,407.8,
L0812,V331136,557.4,
L0813,V331137,492.8,
L0814,V331138,408,
L0816,V331140,550.4,
L0817,V331141,552.8,
L0818,V331142,553.3,
L0819,V331143,488.7,
L0820,V331144,384,
L0821,V331145,402.8,
L0823,V331147,488.4,
L0825,V331149,555.3,
L0826,V331150,383.9,
L0827,V331151,393.9,
L0828,V331152,490,
L0829,V331153,401.7,
L0830,V331154,555.3,
L0831,V331155,384.1,
L0832,V331156,383.6,
L0833,V331157,574.4,
L0834,V331158,404.7,
L0835,V331159,488.9,
L0837,V331161,556,
L0838,V331162,488.8,
L0839,V331163,387.1,
L0840,V331164,382.9,
L0841,V331165,556,
L0842,V331166,406.2,
L0843,V331167,574.5,
L1284,V331567,472.6,
L1606,V331877,637.2,
L1656,V331926,531.8,
L1709,V331979,443.8,
L1763,V332030,521,
L1788,V332055,450.6,
L1789,V332056,451.3,
L1816,V332083,529.2,
L1976,V332239,490.4,
L2164,V332421,658,
L2219,V332476,569,
L2274,V332531,671,
L2327,V332580,654.1,
L2586,V332732,695.1,
L2633,V332778,126.4,
L2678,V332823,668.1,
L2732,V332877,269.9,
L2784,V332929,705.8,
L2891,V333036,708.9,
L2941,V333086,151.4,
L2995,V333139,752.6,
L3048,V333189,710.9,
L3258,V333416,252.2,
L3510,V333666,144.1,
L3611,V333765,265.7,
L4891,V334916,NA,DO NOT INCLUDE IN ANALYSES